"100001"	9
"100016"	50
"100028"	4
"100029"	1
"100033"	1
"100046"	133
"100051"	19
"100058"	5
"100065"	2
"100068"	19
"100076"	4
"100085"	3
"100087"	8
"100088"	13
"100091"	29
"100101"	3
"100125"	3
"100130"	2
"100140"	5
"100141"	26
"100155"	7
"100156"	684
"100177"	1
"100180"	2
"100189"	11
"10019"	36
"100193"	10
"100197"	1
"1002"	1
"100236"	11
"100256"	1
"100257"	207
"100260"	55
"100264"	27
"100268"	1
"100289"	55
"100291"	5
"10030"	9
"100302"	1
"100310"	3
"100320"	1
"10033"	3
"100337"	11
"100344"	2
"100370"	2
"100383"	16
"100400"	3
"100419"	11
"100457"	98
"100458"	21
"100483"	99
"100486"	2
"100489"	19
"100502"	1
"100506"	244
"100509"	1
"100510"	162
"100517"	18
"100525"	1
"100536"	9
"100538"	330
"100544"	8
"100561"	1
"100562"	4
"100577"	5
"100579"	2
"100582"	384
"100609"	4
"100621"	17
"100626"	12
"100637"	8
"100647"	58
"100655"	37
"100672"	1
"100677"	263
"100679"	1
"100689"	6
"100693"	3
"100699"	31
"100702"	2370
"100735"	1
"100738"	5
"100744"	1
"100748"	6
"100757"	2
"100766"	9
"100773"	5
"10079"	6
"100834"	467
"100844"	25
"100860"	2
"100862"	5
"100871"	2
"100874"	3
"10088"	2
"100885"	21
"10090"	3
"100906"	5
"100907"	22
"100911"	1
"100924"	1
"100930"	4
"100949"	1
"100959"	10
"100978"	1
"100986"	3
"10099"	5
"100997"	1
"101007"	6
"10101"	3
"101012"	78
"101033"	134
"101039"	2
"101041"	2
"101070"	17
"101092"	22
"101094"	3
"101096"	1245
"1011"	2
"101129"	49
"101151"	78
"101172"	100
"101195"	17
"101217"	13
"101221"	7
"101223"	116
"101236"	3
"101244"	18
"101249"	205
"101271"	3
"101272"	1
"101279"	3
"101284"	1
"101289"	49
"101296"	3
"101315"	2
"101328"	4
"101332"	4
"101338"	5
"101347"	1
"101354"	1
"10137"	155
"101372"	15
"101385"	5
"10139"	1
"101391"	4
"101396"	80
"101398"	2
"101405"	1
"101441"	3
"101457"	8
"101462"	3
"101464"	1
"101465"	1
"101470"	7
"101478"	3
"101488"	2
"101489"	2
"101492"	1
"101493"	48
"101494"	185
"101496"	123
"101505"	902
"101510"	412
"101518"	5
"101523"	197
"101526"	289
"101530"	242
"101549"	244
"101556"	35
"101558"	2
"101560"	1
"101562"	1
"101564"	217
"101572"	10
"101581"	40
"101595"	2
"101608"	10
"101612"	58
"10162"	99
"101621"	10
"101647"	17
"101648"	2
"101659"	6
"101681"	1
"101695"	33
"101698"	1
"1017"	10
"101709"	7
"101729"	126
"101732"	289
"101733"	13
"101754"	2
"10176"	10
"101775"	3
"101776"	18
"101790"	2
"101814"	39
"101817"	3
"101820"	2
"101821"	9
"101827"	3
"101833"	1
"10184"	3
"10186"	2
"101860"	2
"101874"	2382
"101876"	1
"101878"	1
"101883"	2
"101884"	7
"101889"	3
"101896"	3
"1019"	1
"101903"	6
"101934"	2
"101950"	7
"101965"	1
"101967"	48
"101979"	120
"10198"	10
"10199"	1
"101996"	1
"102010"	2
"102031"	4
"102044"	3
"102056"	21
"102064"	30
"102072"	7
"102085"	2
"102094"	3
"1021"	3
"10213"	1
"102151"	1
"102190"	2
"102192"	1
"102199"	1
"102200"	79
"102201"	2
"102211"	23
"102218"	5
"102222"	1079
"102232"	9
"102233"	2
"102235"	132
"102240"	1
"102248"	2
"102249"	3
"102264"	383
"102283"	12
"10229"	2
"102300"	5
"10231"	530
"102312"	21
"102321"	3
"102329"	524
"102337"	11
"102385"	2
"102390"	3
"102392"	559
"102396"	37
"102398"	12
"102427"	3
"10244"	2
"102443"	7
"102451"	7
"102461"	99
"10247"	4
"102479"	10
"102482"	4
"102525"	167
"102527"	17
"102538"	5
"102556"	11
"102568"	33
"102575"	7
"102584"	8
"102588"	2
"10261"	2
"10262"	1
"102630"	40
"102634"	481
"102641"	11
"102651"	7
"102668"	1
"102687"	3
"102695"	3
"102723"	3
"102734"	14
"102783"	3
"102789"	3
"102791"	4
"1028"	43
"102818"	4
"102824"	2
"102827"	2
"102833"	9
"102840"	6
"102850"	210
"102852"	2
"102856"	1
"102878"	11
"102879"	67
"10288"	3
"102891"	17
"102901"	1
"10295"	11
"102961"	2
"102973"	21
"102976"	12
"102978"	2
"102996"	129
"103013"	63
"103023"	1
"103027"	12
"103042"	3
"103055"	179
"103087"	2
"103092"	1
"103093"	1
"103097"	3
"10310"	3
"103100"	101
"103104"	13
"103113"	4
"103115"	5
"103125"	8
"103126"	230
"103138"	1
"103140"	1
"103143"	4
"103153"	12
"103156"	36
